,DAX,SP500,OIL,GOLD,USD_EUR,VOL_DAX,VOL_SP500,REALIZED_VOL_DAX,TASSO_3M_DE,YIELD_10Y_DE,CPI_DE,CORE_CPI_DE,INDPROD_DE,UNEMP_DE,TERM_SPREAD_DE
2024-02-12,17037.349609375,5021.83984375,82.0,2018.199951171875,0.9260799884796143,53286500.0,3805740000.0,0.09276355778723035,3.9231905,2.3319047619,125.8112,119.7132,92.10696,3.2,-1.5912857380999998
2024-02-13,16880.830078125,4953.169921875,82.7699966430664,1992.9000244140625,0.928309977054596,62956700.0,4302190000.0,0.09723193165982372,3.9231905,2.3319047619,125.8112,119.7132,92.10696,3.2,-1.5912857380999998
2024-02-14,16945.48046875,5000.6201171875,81.5999984741211,1990.300048828125,0.9337999820709229,53717300.0,3845600000.0,0.09676589229104537,3.9231905,2.3319047619,125.8112,119.7132,92.10696,3.2,-1.5912857380999998
2024-02-15,17046.689453125,5029.72998046875,82.86000061035156,2002.0999755859375,0.9317799806594849,83791100.0,4137970000.0,0.0916328834720192,3.9231905,2.3319047619,125.8112,119.7132,92.10696,3.2,-1.5912857380999998
2024-02-16,17117.439453125,5005.56982421875,83.47000122070312,2011.5,0.9281700253486633,76375500.0,3833270000.0,0.08903652122237266,3.9231905,2.3319047619,125.8112,119.7132,92.10696,3.2,-1.5912857380999998
2024-02-19,17092.259765625,5005.56982421875,83.47000122070312,2011.5,0.9272199869155884,43224700.0,3833270000.0,0.08931202766166295,3.9231905,2.3319047619,125.8112,119.7132,92.10696,3.2,-1.5912857380999998
2024-02-20,17068.4296875,4975.509765625,82.33999633789062,2027.5,0.9280400276184082,62710700.0,4034880000.0,0.08688506109732815,3.9231905,2.3319047619,125.8112,119.7132,92.10696,3.2,-1.5912857380999998
2024-02-21,17118.119140625,4981.7998046875,83.02999877929688,2022.300048828125,0.9247999787330627,59403800.0,3788390000.0,0.08552400405086093,3.9231905,2.3319047619,125.8112,119.7132,92.10696,3.2,-1.5912857380999998
2024-02-22,17370.44921875,5087.02978515625,83.66999816894531,2019.699951171875,0.9241799712181091,86130500.0,4051710000.0,0.08331090452409423,3.9231905,2.3319047619,125.8112,119.7132,92.10696,3.2,-1.5912857380999998
2024-02-23,17419.330078125,5088.7998046875,81.62000274658203,2038.5999755859375,0.9237300157546997,76799700.0,3672790000.0,0.08345222016213714,3.9231905,2.3319047619,125.8112,119.7132,92.10696,3.2,-1.5912857380999998
2024-02-26,17423.23046875,5069.52978515625,82.52999877929688,2028.5,0.9242100119590759,53156400.0,3683930000.0,0.08328987981369025,3.9231905,2.3319047619,125.8112,119.7132,92.10696,3.2,-1.5912857380999998
2024-02-27,17556.490234375,5078.18017578125,83.6500015258789,2034.0,0.9215800166130066,59725400.0,3925950000.0,0.08557864859655887,3.9231905,2.3319047619,125.8112,119.7132,92.10696,3.2,-1.5912857380999998
2024-02-28,17601.220703125,5069.759765625,83.68000030517578,2033.0,0.9221000075340271,56644500.0,3789370000.0,0.08562739590816339,3.9231905,2.3319047619,125.8112,119.7132,92.10696,3.2,-1.5912857380999998
2024-02-29,17678.189453125,5096.27001953125,83.62000274658203,2045.699951171875,0.9226099848747253,102738500.0,5219740000.0,0.0833919041940784,3.9231905,2.3319047619,125.8112,119.7132,92.10696,3.2,-1.5912857380999998
2024-03-01,17735.0703125,5137.080078125,83.55000305175781,2086.89990234375,0.9254999756813049,85782600.0,4748110000.0,0.08159896429429503,3.9231,2.3495,125.8112,120.4163,91.43041,3.3,-1.5735999999999999
2024-03-04,17716.169921875,5130.9501953125,82.80000305175781,2117.699951171875,0.9222800135612488,1220700.0,4758440000.0,0.08237017796627732,3.9231,2.3495,125.8112,120.4163,91.43041,3.3,-1.5735999999999999
2024-03-05,17698.400390625,5078.64990234375,82.04000091552734,2133.5,0.9212200045585632,74178400.0,4418410000.0,0.08244979869793569,3.9231,2.3495,125.8112,120.4163,91.43041,3.3,-1.5735999999999999
2024-03-06,17716.7109375,5104.759765625,82.95999908447266,2150.300048828125,0.9211500287055969,91487700.0,4559050000.0,0.08010030922087505,3.9231,2.3495,125.8112,120.4163,91.43041,3.3,-1.5735999999999999
2024-03-07,17842.849609375,5157.35986328125,82.95999908447266,2158.0,0.9174699783325195,86702800.0,4137980000.0,0.07586719626468501,3.9231,2.3495,125.8112,120.4163,91.43041,3.3,-1.5735999999999999
2024-03-08,17814.509765625,5123.68994140625,82.08000183105469,2178.60009765625,0.9132300019264221,67940300.0,4208870000.0,0.07720328989292337,3.9231,2.3495,125.8112,120.4163,91.43041,3.3,-1.5735999999999999
