data,giorno,allocazione_K,posizione_prec,turnover,operazione,posizione,rendimento_giorno,rendimento_buyhold,equity_agente,equity_buyhold,drawdown_agente
2020-12-30,96,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.0,105769.99187469482,105713.42706680298,-0.028541040569765332
2020-12-31,97,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.0,105769.99187469482,105713.42706680298,-0.028541040569765332
2021-01-01,98,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.0005801834372005654,105769.99187469482,105774.76024627686,-0.028541040569765332
2021-01-04,99,1.0,0.0,1.0,COMPRA,LONG,-0.006501679885220102,-0.0055017282709514115,105082.30924606323,105192.8162574768,-0.03485715574560969
2021-01-05,100,0.0,1.0,-1.0,VENDE,CASH,-0.0010000064662925023,0.017635793696276325,104977.22625732422,107047.97506332397,-0.03582230483076004
2021-01-06,101,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.005490301325135727,104977.22625732422,107635.70070266724,-0.03582230483076004
2021-01-07,102,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.005819603800451878,104977.22625732422,108262.09783554077,-0.03582230483076004
2021-01-08,103,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.008033643103376287,104977.22625732422,107392.35877990723,-0.03582230483076004
2021-01-11,104,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.0008324153342915697,104977.22625732422,107302.9637336731,-0.03582230483076004
2021-01-12,105,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.0010520790225774235,104977.22625732422,107415.85493087769,-0.03582230483076004
2021-01-13,106,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.0035143793014855707,104977.22625732422,107793.35498809814,-0.03582230483076004
2021-01-14,107,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.014366489640649238,104977.22625732422,106244.74287033081,-0.03582230483076004
2021-01-15,108,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.004396543937669195,104977.22625732422,106711.85255050659,-0.03582230483076004
2021-01-18,109,1.0,0.0,1.0,COMPRA,LONG,-0.0034038796619808576,-0.002403917316147308,104619.89641189575,106455.32608032227,-0.039104249677882175
2021-01-19,110,0.0,1.0,-1.0,VENDE,CASH,-0.0009999825663932205,0.007695305326244295,104515.27833938599,107274.53231811523,-0.040065128676325674
2021-01-20,111,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.0010559138733436946,104515.27833938599,107161.25965118408,-0.040065128676325674
2021-01-21,112,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.0023514523538885612,104515.27833938599,106909.27505493164,-0.040065128676325674
2021-01-22,113,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.016579246671572845,104515.27833938599,105136.7998123169,-0.040065128676325674
2021-01-25,114,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.016640372700808648,104515.27833938599,106886.31534576416,-0.040065128676325674
