data,giorno,allocazione_K,posizione_prec,turnover,operazione,posizione,rendimento_giorno,rendimento_buyhold,equity_agente,equity_buyhold,drawdown_agente
2021-01-14,107,0.0,1.0,-1.0,VENDE,CASH,-0.001000029950798953,-0.014366489640649238,109345.23344039917,106244.74287033081,-0.007321705370567316
2021-01-15,108,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.004396543937669195,109345.23344039917,106711.85255050659,-0.007321705370567316
2021-01-18,109,1.0,0.0,1.0,COMPRA,LONG,-0.0034038543073605654,-0.002403917316147308,108973.03819656372,106455.32608032227,-0.01070063765956505
2021-01-19,110,1.0,1.0,0.0,MANTIENE,LONG,0.007695277301825509,0.007695305326244295,109811.61594390869,107274.53231811523,-0.003087704731836345
2021-01-20,111,1.0,1.0,0.0,MANTIENE,LONG,-0.0010559436262669308,-0.0010559138733436946,109695.66106796265,107161.25965118408,-0.004140387915971921
2021-01-21,112,1.0,1.0,0.0,MANTIENE,LONG,-0.0023513522530415054,-0.0023514523538885612,109437.72792816162,106909.27505493164,-0.006482004658558686
2021-01-22,113,1.0,1.0,0.0,MANTIENE,LONG,-0.016579193146369242,-0.016579246671572845,107623.33869934082,105136.7998123169,-0.022953731397718037
2021-01-25,114,0.0,1.0,-1.0,VENDE,CASH,-0.0009999889234723058,0.016640372700808648,107515.71655273438,106886.31534576416,-0.02393076684404023
2021-01-26,115,0.5,0.0,0.5,COMPRA,LONG,-0.009530692292954335,-0.018061460089218828,106491.01734161377,104955.79242706299,-0.03323338236186956
2021-01-27,116,0.0,0.5,-0.5,VENDE,CASH,-0.0005000495907697688,0.0033383573764271812,106437.76655197144,105306.17237091064,-0.033716813613389414
2021-01-28,117,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.01705407980916762,106437.76655197144,103510.27250289917,-0.033716813613389414
2021-01-29,118,0.25,0.0,0.25,COMPRA,LONG,0.0032702603205165826,0.01408107799648306,106785.84575653076,104967.8087234497,-0.030556816050566888
2021-02-01,119,0.75,0.25,0.5,COMPRA,LONG,0.011235067001598376,0.015646758818343987,107985.59188842773,106610.2147102356,-0.019665056924652147
2021-02-02,120,0.5,0.75,-0.25,VENDE,LONG,0.0033086095604475396,0.007117432151422021,108342.87405014038,107369.00568008423,-0.016421511359552183
2021-02-03,121,1.0,0.5,0.5,COMPRA,LONG,0.008590345183930426,0.009090167224303114,109273.5767364502,108345.00789642334,-0.007972232626642052
